	model	lemma	acc	diff	expected	unexpected	macrodiff
0	distilbert-base-uncased	BE	1.0	-4.183528270004172	6.040371857540959	10.22390012754513	-4.183528270004172
1	distilbert-base-uncased	LIKE	1.0	-2.2786383911714436	6.961845367752176	9.24048375892362	-2.2786383911714445
2	distilgpt2	BE	1.0	-3.0580390501767396	5.303709931299091	8.36174898147583	-3.05803905017674
3	distilgpt2	LIKE	0.75	-1.516575802862644	8.794076542556287	10.31065234541893	-1.5165758028626435
4	gpt2	BE	1.0	-3.2407811850309374	5.350453212857246	8.591234397888183	-3.2407811850309365
5	gpt2	LIKE	0.75	-1.5505916230380536	8.680153113603591	10.230744736641645	-1.5505916230380539
