	model	wordfreq	acc	diff	expected	unexpected	macrodiff
0	distilgpt2	high	0.5	0.9757969081401826	9.638580858707428	8.662783950567245	0.9757969081401825
1	distilgpt2	low	0.5	0.7125043272972108	9.676292210817337	8.963787883520126	0.7125043272972107
2	distilgpt2	mid	0.5	1.1247844994068146	9.747232347726822	8.622447848320007	1.1247844994068146
3	distilgpt2	very high	0.5	1.1202645748853683	9.464296132326126	8.344031557440758	1.1202645748853683
4	distilgpt2	very low	0.5	0.8234553635120387	9.76278531551361	8.939329952001572	0.8234553635120392
