	model	freq	acc	diff	expected	unexpected	macrodiff
0	distilgpt2	0	0.0	5.948768496513367	12.254607915878296	6.305839419364929	5.948768496513367
1	distilgpt2	1	0.0	6.5386552810668945	12.650034189224243	6.111378908157349	6.5386552810668945
2	distilgpt2	106	1.0	-6.056030631065369	5.766527056694031	11.8225576877594	-6.056030631065369
3	distilgpt2	153	1.0	-4.667402863502502	7.11207377910614	11.779476642608643	-4.667402863502502
4	distilgpt2	17	0.0	5.431960940361024	12.299248933792114	6.867287993431091	5.431960940361023
5	distilgpt2	211	0.0	5.568648338317872	12.503373622894287	6.934725284576416	5.568648338317871
6	distilgpt2	25	0.0	5.442664742469788	12.153781175613403	6.711116433143616	5.442664742469788
7	distilgpt2	280	0.0	5.54628598690033	11.553136348724365	6.006850361824036	5.54628598690033
8	distilgpt2	320	0.0	5.5973817110061646	12.244242429733276	6.646860718727112	5.5973817110061646
9	distilgpt2	381	1.0	-6.122591733932495	6.182004928588867	12.304596662521362	-6.122591733932495
10	distilgpt2	418	0.0	5.930535554885864	12.058558464050293	6.128022909164429	5.930535554885864
11	distilgpt2	490	0.0	5.36968731880188	11.505430221557617	6.135742902755737	5.36968731880188
12	distilgpt2	53	1.0	-6.206846714019775	5.609419822692871	11.816266536712646	-6.206846714019775
13	distilgpt2	530	0.0	6.7813849449157715	11.89743447303772	5.116049528121948	6.7813849449157715
14	distilgpt2	7	0.0	5.3083871603012085	11.814225435256958	6.5058382749557495	5.3083871603012085
15	distilgpt2	71	0.0	5.730798959732056	11.793511867523193	6.062712907791138	5.730798959732056
16	distilgpt2	842	0.0	5.152780175209046	11.880522966384888	6.727742791175842	5.152780175209045
17	distilgpt2	88	0.0	4.104642033576964	12.259076833724976	8.15443480014801	4.104642033576965
18	distilgpt2	931	0.0	5.3879947662353525	11.688558578491211	6.300563812255859	5.387994766235352
19	distilgpt2	995	1.0	-6.620166599750518	5.501136004924774	12.121302604675293	-6.620166599750519
