	model	lang	acc	diff	expected	unexpected	macrodiff
0	bi_sae model	sae	0.782258064516129	-0.3784189588240078	3.199288768429429	3.577707727253437	-0.3784189588240081
1	bi_sae model	yoda	0.6310483870967742	-0.13277565987720608	3.444932067376231	3.577707727253437	-0.1327756598772063
2	bi_yoda model	sae	0.5826612903225806	-0.18072615816227852	3.200094438380291	3.3808205965425695	-0.18072615816227833
3	bi_yoda model	yoda	0.7237903225806451	-0.30683298219115507	3.073987614351415	3.3808205965425695	-0.3068329821911546
