	model	lang	acc	diff	expected	unexpected	macrodiff
0	sae model	sae	0.6612903225806451	-0.23939384135507766	3.2271381477194447	3.4665319890745225	-0.2393938413550778
1	sae model	yoda	0.6028225806451613	-0.06982867064014554	3.3967033184343767	3.4665319890745225	-0.06982867064014586
2	yoda model	sae	0.6713709677419355	-0.2324961466173971	3.3884309634085628	3.6209271100259595	-0.2324961466173967
3	yoda model	yoda	0.7016129032258065	-0.25607573601507366	3.3648513740108856	3.6209271100259595	-0.25607573601507383
